,index,specific_index,unit_ID,schools,terms,url,metadata_date
0,0,0,102553,Jackson State University,offer amenities,https://www.jsums.edu/facilities/,No meta date
1,1,1,102553,Jackson State University,offer amenities,http://websites.one.jsums.edu/recplex/index.php/home/facilities/,['2015-08-06T13:38:45+00:00']
2,2,2,102553,Jackson State University,offer amenities,https://gojsutigers.com/facilities/?id=2,No meta date
3,3,3,102553,Jackson State University,offer amenities,http://www.jsu.edu/physicalplant/index.html,No meta date
4,4,4,102553,Jackson State University,offer amenities,https://gojsutigers.com/,No meta date
5,5,5,102553,Jackson State University,offer amenities,https://www.forrentuniversity.com/jackson-state-university,No meta date
6,6,6,102553,Jackson State University,offer amenities,https://www.orbitz.com/jackson-state-university-hotels.0-l6092591-0.travel-guide-filter-hotels,No meta date
7,7,7,102553,Jackson State University,offer amenities,https://gojsutigers.com/facilities/lee-e-williams-athletic-and-assembly-center/9,No meta date
8,8,8,102553,Jackson State University,campus climate,https://www.jsums.edu/jsuadvance/climate-study-2012-2017/,No meta date
9,9,9,102553,Jackson State University,campus climate,https://www.jsums.edu/jsuadvance/programs/bias-prevention-training/,No meta date
10,10,10,102553,Jackson State University,campus climate,https://www.tbr.edu/academics/studentaffairs/campus-climate-survey-institution-data,No meta date
11,11,11,102553,Jackson State University,campus climate,http://www.jsums.edu/universitycommunications/files/2014/05/student-life.ppt,['2017-07-10T20:30:31+00:00']
12,12,12,102553,Jackson State University,counselling services’ student wellness,https://www.jsums.edu/latashanormancenter/virtual-relaxation-wellness-room/,No meta date
13,13,13,102553,Jackson State University,counselling services’ student wellness,https://www.umc.edu/scwc/,No meta date
14,14,14,102553,Jackson State University,counselling services’ student wellness,https://www.jsums.edu/latashanormancenter/,No meta date
15,15,15,102553,Jackson State University,counselling services’ student wellness,https://web.ccsu.edu/counselingandwellnesscenter/,No meta date
16,16,16,102553,Jackson State University,counselling services’ student wellness,https://www.angelo.edu/services/health_clinic_counseling/,No meta date
17,17,17,102553,Jackson State University,counselling services’ student wellness,https://www.wichita.edu/services/counseling/counseling1/staffcaps.php,No meta date
18,18,18,102553,Jackson State University,counselling services’ student wellness,http://www.jsu.edu/ccservices/,No meta date
19,19,19,102553,Jackson State University,counselling services’ student wellness,http://websites.one.jsums.edu/recplex/,No meta date
20,20,20,102553,Jackson State University,counselling services’ student wellness,https://www.alasu.edu/current-students/wellness-safety/counseling-services,No meta date
21,21,21,102553,Jackson State University,improve utilities,https://www.jsums.edu/finance/fees/,No meta date
22,22,22,102553,Jackson State University,improve utilities,https://www.homedepot.com/p/fanmats-ncaa-jackson-state-university-black-heavy-duty-1-piece-14-in-x-17-in-vinyl-utility-mat-12926/206553296,No meta date
23,23,23,102553,Jackson State University,improve utilities,https://www.jsums.edu/,No meta date
24,24,24,102553,Jackson State University,improve utilities,https://www.ci.desoto.tx.us/1909/deputy-city-manager,No meta date
25,25,25,102553,Jackson State University,improve utilities,http://www.mississippi.edu/advancingms/1492.asp,No meta date
26,26,26,102553,Jackson State University,building improvement,S,S
27,28,28,102553,Jackson State University,reduce faculty,https://www.jsums.edu/publicpolicy/faculty-and-staff/,No meta date
28,29,29,102553,Jackson State University,reduce faculty,https://www.jsums.edu/music/facultystaff2/,No meta date
29,30,30,102553,Jackson State University,reduce faculty,https://www.jsums.edu/compscience/faculty-and-staff/,No meta date
30,31,31,102553,Jackson State University,reduce faculty,http://www.jsumsnews.com/?p=40097,No meta date
31,32,32,102553,Jackson State University,reduce faculty,https://www.jstor.org/stable/40249613,No meta date
32,33,33,102553,Jackson State University,reduce faculty,https://www.wlbt.com/story/35558992/jsu-to-cut-42-positions-in-budget-reduction-and-recovery-plan,No meta date
33,34,34,102553,Jackson State University,postpone maintenance,https://www.jsums.edu/facilities/maintenance-unit/,No meta date
34,35,35,102553,Jackson State University,postpone maintenance,http://www.jsu.edu/physicalplant/requests.html,No meta date
35,36,36,102553,Jackson State University,postpone maintenance,http://careers.jsu.edu/,No meta date
36,38,38,102553,Jackson State University,postpone maintenance,https://twitter.com/jsunews?lang=en,No meta date
37,39,39,102553,Jackson State University,on-time graduation,https://www.jsums.edu/financialaid/commonly-used-terms/,No meta date
38,40,40,102553,Jackson State University,on-time graduation,http://www.jsumsnews.com/?p=14657,No meta date
39,41,41,102553,Jackson State University,on-time graduation,https://www.jsums.edu/socialwork/masters-of-social-work-program/,['2013-02-20']
40,42,42,102553,Jackson State University,on-time graduation,https://www.jsums.edu/graduateschool/,No meta date
41,43,43,102553,Jackson State University,on-time graduation,https://www.theatlantic.com/politics/archive/2014/04/when-a-43-percent-graduation-rate-means-success/430812/,['2013-02-20']
42,44,44,102553,Jackson State University,career center,https://www.jsums.edu/careers/,No meta date
43,45,45,102553,Jackson State University,career center,http://www.jsu.edu/careerservices/,No meta date
44,46,46,102553,Jackson State University,career center,https://www.jsums.edu/careers/employers/,No meta date
45,47,47,102553,Jackson State University,food pantry,https://www.jsums.edu/housing/tiger-pantry/,No meta date
46,48,48,102553,Jackson State University,food pantry,http://www.jsu.edu/news/articles/2017/11/student-affairs-opens-food-pantry-.html,No meta date
47,49,49,102553,Jackson State University,food pantry,http://www.jsumsnews.com/?p=37523,No meta date
48,50,50,102553,Jackson State University,food pantry,https://gojsutigers.com/news/2020/2/18/general-kroger-donates-15-000-to-jsu-food-pantry-and-athletics-refueling-station.aspx,No meta date
49,51,51,102553,Jackson State University,food pantry,http://www.healthy-miss.org/college-anti-hunger/,No meta date
50,52,52,102553,Jackson State University,food pantry,https://www.wlbt.com/2020/02/19/kroger-donates-jsu-order-help-fight-food-insecurity-campus/,No meta date
51,53,53,102553,Jackson State University,food pantry,https://www.wlbt.com/2020/02/27/kroger-donates-jsu-tougaloo-college-food-pantries/,No meta date
52,54,54,102553,Jackson State University,cut athletics,https://jsugamecocksports.com/,No meta date
53,56,56,102553,Jackson State University,cut athletics,https://www.jsums.edu/main-athletics/,No meta date
54,57,57,102553,Jackson State University,cut athletics,https://gojsutigers.com/sports/mens-basketball,No meta date
55,58,58,102553,Jackson State University,cut athletics,https://www.jsums.edu/president2/mr-ashley-robinson-bio/,No meta date
56,59,59,102553,Jackson State University,cut athletics,https://hbcugameday.com/2019/12/11/suno-new-orleans-only-public-hbcu-to-cut-athletics-as-school-fights-for-survival/,No meta date
57,61,61,102553,Jackson State University,freeze salary increases,https://www.clarionledger.com/story/news/2017/07/26/miss-now-pays-jsu-ole-miss-msu-and-usm-presidents-same/512427001/,No meta date
58,62,62,102553,Jackson State University,freeze salary increases,https://www.jsums.edu/csetsss/rise/,No meta date
59,63,63,102553,Jackson State University,freeze salary increases,https://www.wapt.com/article/new-jsu-president-gets-salary-bump/10318879,['2017-07-17T23:51:00Z']
60,64,64,102553,Jackson State University,freeze salary increases,https://www.jsums.edu/hr/,No meta date
61,65,65,102553,Jackson State University,freeze salary increases,https://www.wlbt.com/2020/07/02/former-jsu-president-files-lawsuit-says-he-is-owed-his-k-salary/,No meta date
62,66,66,102553,Jackson State University,freeze salary increases,https://www.mycentraljersey.com/story/news/education/college/rutgers/2020/06/11/rutgers-declares-fiscal-emergency-possible-wage-freezes-more-layoffs/5341148002/,No meta date
63,67,67,102553,Jackson State University,freeze salary increases,https://olemiss.edu/faculty_senate/archives/association.html,No meta date
64,69,69,102553,Jackson State University,new building,https://www.jsums.edu/housing/viewbuildings/,No meta date
65,70,70,102553,Jackson State University,new building,https://www.jsums.edu/publicpolicy/2015/07/16/the-dept-of-public-policy-administration-has-moved-in-the-jsu-downtown-campus/,No meta date
66,71,71,102553,Jackson State University,new building,http://websites.one.jsums.edu/moveinday/index.php/directions/,No meta date
67,72,72,102553,Jackson State University,new building,https://www.jsums.edu/science/,No meta date
68,73,73,102553,Jackson State University,new building,https://www.jacksonfreepress.com/news/2013/feb/19/new-jsu-stadium-coming/,No meta date
69,75,75,102553,Jackson State University,athletics spending cuts,https://www.jsums.edu/finance/budget-and-financial-analysis/,No meta date
70,77,77,102553,Jackson State University,athletics spending cuts,https://gojsutigers.com/sports/football,No meta date
71,79,79,102553,Jackson State University,athletics spending cuts,http://www.mississippi.edu/transparency/budgets.asp,No meta date
72,80,80,102553,Jackson State University,athletics spending cuts,https://diverseeducation.com/article/92349/,No meta date
73,81,81,102553,Jackson State University,deferred maintenance,http://websites.one.jsums.edu/mtolive/index.php/history/,No meta date
74,82,82,102553,Jackson State University,reduce payroll,https://www.jsums.edu/humanresources/jsu-payroll/,No meta date
75,83,83,102553,Jackson State University,reduce payroll,https://www.jsums.edu/hr/payroll/,No meta date
76,84,84,102553,Jackson State University,reduce payroll,https://www.jsums.edu/hr/payroll-staff/,No meta date
77,85,85,102553,Jackson State University,reduce payroll,https://www.clarionledger.com/story/news/local/2017/06/07/jsu-madison-site-limbo-classes-canceled-now/377268001/,No meta date
