,index,url,status_code,pagetexts
0,26,S,timeout,could not parse
1,3,http://www.jsu.edu/physicalplant/index.html,200,"      skip to main site navigation  skip to content  skip to footer                mobile menu       apply  visit     i am...    future student  current student  alumni      alumni    search                  search    search button         popular tools    a to z   academic calendar   my jsu   directory   bookstore   library   gem   canvas   give       schools   school of arts & humanities  school of business & industry  school of education  school of science  school of human services & social sciences  school of health professions & wellness            about  academics  admissions & aid  campus life  athletics  alumni              jsu  capital planning & facilities    capital planning & facilities             menu expander icon   capital planning & facilities      mission statement    work order requests    renovation requests    overview of services    contact us    staff    organization    adem ms4 permit              capital planning and facilities provides facilities services to the jacksonville state university community and its 53 buildings that occupy 318 acres. we are dedicated to maintaining a manicured campus, comfortable facilities for all, and a high level of cleanliness in all buildings and on the grounds. this is accomplished through the maintenance, repair, and general upkeep of all the campus structures and grounds, and by responding to work requests that have been submitted to the department. our work is essentially divided into three categories:   work request  minor construction request  routine operations and maintenance       helpful links   news and announcement  preventative safety items order form            capital planning & facilities  duncan maintenance building 700 pelham road north jacksonville, al 36265  256-782-5450           back to top        © 2020 jacksonville state university 700 pelham rd n jacksonville, al 36265  phone: 1-800-231-5291 or 1-256-782-5781  email: info@jsu.edu           learn   schools  graduate studies  continuing education and outreach  online education      contact   undergraduate admissions  graduate admissions  emergency information  office of public relations  how to reach us      compliance   web ada compliance  accreditations  title ix  clery information  consumer information  athletics             employment  a-z sitemap  maps & directions  website feedback     facebook   twitter   youtube   instagram                        "
2,10,https://www.tbr.edu/academics/studentaffairs/campus-climate-survey-institution-data,200,"       skip to:   skip to content  skip to navigation            novel coronavirus (covid-19) information  severe storms relief fund                        get started   future students  adult learners  online learners  military & veterans  k - 12 initiatives  business & industry  data and research  job seekers  policies & rules  how to do business with the tbr  faculty & staff    our colleges   offices     board
                                    of regents  chancellor  academic
                                    affairs  administration and facilities development  business
                                    and finance    external
                                    affairs  general
                                    counsel  information
                                    technology    organizational
                                    effectiveness  policy and strategy  student
                                    success  system-wide
                                    internal audit       news  data  about  contact      policies & rules   all of tbr.edu          x                              apply  make a gift                you are here home  /  office of student success        office of academic affairs  our work academic mindset  academic audit  digital engagement initiative  early postsecondary opportunities (epso)  forms for academic program and off-campus site approvals  general education program  sails  strategic planning  tennessee pathways  tennessee transfer pathways  tennessee reverse transfer  tnecampus / online learning  transfer and articulation   program integrity student complaint form  subcouncils  working groups  staff  academic programs at our institutions             campus climate survey institution data          please submit your institutional information by friday, january 15, 2016.   institution name  - none - austin peay state university east tennessee state university middle tennessee state university tennessee state university tennessee tech university university of memphis chattanooga state community college cleveland state community college columbia state community college dyersburg state community college jackson state community college motlow state community college nashville state community college northeast state community college pellissippi state community college roane state community college southwest tennessee community college volunteer state community college walters state community college tcat athens tcat chattanooga tcat covington tcat crossville tcat crump tcat dickson tcat elizabethton tcat harriman tcat hartsville tcat hohenwald tcat jacksboro tcat jackson tcat knoxville tcat livingston tcat mckenzie tcat mcminnville tcat memphis tcat morristown tcat murfreesboro tcat nashville tcat newbern tcat oneida tcat paris tcat pulaski tcat ripley tcat shelbyville tcat whiteville tbr system office    if you know your everfi partner services director, please select from the list below.  - none - brittany new annie flores maggie leitch unsure    institution point of contact     institution point of contact email     campus resource office name/point of contact     link to campus safety resources   ex: counseling center, campus police    additional link to campus resources     do you plan to use incentives to encourage participation? (answering yes to this question will enable the second survey intended to collect student identification information. the second survey insures student responses to the climate survey will be completely disassociated with any identifying information.)  - none - yes no          leave this field blank                        offices    board of regents    chancellor    academic affairs    administration and facilities development    business and finance    external affairs    general counsel    information technology    organizational effectiveness    policy and strategy    student success    system-wide internal audit      in depth    job opportunities    vendors and bid opportunities    facilities bid opportunities    policies    contacts / staff directory    newsletter | subscribe    system viewbook    online learning (tn ecampus)    tennessee pathways    tennessee transfer pathways    tennessee promise   tennessee reconnect     about this site    accessibility    search    privacy    website feedback                                                                                       the college system of tennessee, governed by the tennessee board of regents (tbr), is tennessee's largest higher education system, governing 40 post-secondary educational institutions with over 200 teaching locations. the tbr system includes 13 community colleges, 27 colleges of applied technology, and tn ecampus, providing programs to students across the state, country, and world.  the tennessee board of regents does not discriminate on the basis of race, color, religion, creed, ethnicity or national origin, sex, disability, age status as a protected veteran or any other class protected by federal or state laws and regulations and by tennessee board of regents policies with respect to employment, programs, and activities. non-discrimination policy & contact     login              1 bridgestone park  nashville  tn  37214   615-366-4400                          "
3,57,https://www.clarionledger.com/story/news/2017/07/26/miss-now-pays-jsu-ole-miss-msu-and-usm-presidents-same/512427001/,200,"subscribe now only $3 for 3 months. save 90%. subscribe now only $3 for 3 months. save 90%. news  sports  opinion  magnolia  mississippi state  obituaries  e-edition  legals subscribe  news miss. now pays jsu, ole miss, msu and usm presidents the same bracey harris mississippi clarion ledger view comments  base salaries for the presidents of mississippi’s public research universities are once again equal, after a nearly two-year lag. minutes from a june board meeting show the state college board agreed to pay jackson state university president william bynum and university of southern mississippi president rodney bennett $300,000 annually in state funds. this brings them in line with the university of mississippi chancellor and mississippi state university president, whose salaries were raised in december 2015. while there is no written policy that the presidents of the state's research universities would be paid the same, it had been a long-standing policy.. prior to the salary hikes, ole miss chancellor jeff vitter was receiving $220,500, and msu president mark keenum, $227,500 in state funds. the new round of raises comes at a time when the state’s eight public universities have received approval to raise fall tuition amid state budget cuts. “we feel very comfortable with the salaries because historically the base salaries that we provide to the research university presidents are the same,” college board president c.d. smith said. jsu, ole miss, msu and usm are the state's sole public research universities. the state college board annually determines the pay scale for presidents in the eight-university system. and smith said it was “coincidental” that salary raises for the state’s research university presidents were approved separately and in pairs. “it’s not two here and two there,” he said. bennett donated his $72,630 raise to a usm scholarship fund, citing a sensitivity to the increase coming when the hattiesburg-based university had eliminated positions and held off on raising salaries for others. bynum, who served as the president of mississippi valley state university, before being named the 11th president of jsu, made $225,000 at valley. his current salary $375,000 is a boost of $150,000 from his previous post. the state college board requested that jsu's foundation contribute $75,000 of that amount. sandra hodge, with the university's division of institutional advancement, said the executive committee for the foundation has voted in favor of the supplement. that means bynum is making $154,500 more, an increase of 39 percent over the salary of his predecessor carolyn meyers. meyers was paid $270,500 at the height of her service at the country’s fourth largest historically black college and university. more than 80 percent of that amount, $220,500, came from state money. the supplement hike comes as the foundation has seen less in contributions. tax filings by the foundation show an uptick in contributions from $3.8 million in the 2014 fiscal year to $4.3 million in the 2015 fiscal year. a loss in net income for the 2015 fiscal year, however, resulted in a revenue of $4 million, a decrease from $5.9 million the year before. a filing for the 2016 fiscal year was not immediately available for review. hodge acknowledged that a decrease in revenue had led to ""shifts"" in order to allocate funds for university support. she provided no further details. asked whether the increased salary supplement was viewed as financially sound given a fluctuation in contributions to the foundation, which has also seen an increase in liabilities, hodge repeatedly emphasized that the foundation operates off of an annual budget that includes a salary supplement for jsu's president. private funds from university foundations, which make up a portion of presidents’ salaries, range from 4 percent on the low end such as at valley where $10,000 of interim president jerryl briggs $225,000 salary comes from private donations to 50 percent on the high end at ole miss and msu whose foundations match state appropriated funds at $300,000 each. during a july 14 news conference outlining his vision for the university, bynum told reporters, “we’re going to have a tough year or two in terms of really tightening our belt in the way we do in our own personal budgets and our personal household accounts. but at the end of the day, i’m confident that a year or two from now, we’ll be just fine.” bynum was referring to the ongoing efforts to regain the university’s financial footing following the depletion of 89 percent of jsu’s cash reserves during meyers’ tenure. thus far, that’s included implementing a budget reduction plan that involved layoffs of 42 employees, the elimination of 65 vacant positions, administrative restructuring and the merger of several academic departments. more: jsu slashes positions in budget recovery plan during his first week on the job, bynum also moved to reduce the salaries of several cabinet-level positions. smith said trustees were well-versed in the university’s financial status while considering the raise. he noted the university’s recovery would not be quick, but rather a multi-year endeavor with bynum at the helm. “(bynum’s) going to have to work really hard to position jackson state where we want it to be,” smith said. “we expect the work to justify the salary treatment.” contact bracey harris at 601-961-7248 or bharris2@gannett.com. follow her on twitter. view comments  staff directory  careers  accessibility support  site map  legals  our ethical principles  terms of service  privacy policy  your california privacy rights / privacy policy  do not sell my info / cookie policy contact us  support local businesses  advertise your business  advertising terms and conditions  buy and sell  help center  subscriber guide  my account  give feedback subscribe today  newsletters  mobile apps  facebook  twitter  e-edition  storytellers  archives  rss feeds jobs  cars  homes  classifieds  education  moonlighting  reviewed  10best  reach local © 2020 www.clarionledger.com. all rights reserved."
4,36,https://twitter.com/jsunews?lang=en,200,"     we've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter?   yes      something went wrong, but don’t fret — let’s give it another shot.         "
5,1,http://websites.one.jsums.edu/recplex/index.php/home/facilities/,timeout,could not parse
6,62,https://www.mycentraljersey.com/story/news/education/college/rutgers/2020/06/11/rutgers-declares-fiscal-emergency-possible-wage-freezes-more-layoffs/5341148002/,200,"subscribe now only $3 for 3 months. save 90%. subscribe now only $3 for 3 months. save 90%. news  courier news  home news tribune  sports  obituaries  cn e-edition  hnt e-edition  legals subscribe  rutgers declares fiscal emergency; possible wage freezes, more layoffs bob makin bridgewater courier news new brunswick – a coalition of 19 unions representing 20,000 workers across three rutgers university campuses is protesting a recently announced fiscal emergency that could lead to wage freezes and more layoffs caused by $183 million in revenue lost during the covid-19 pandemic. the protest is based on a lack of furloughs, reserve spending and the enactment of several other suggestions issued by the coalition, some of which could have saved the university $130 million if enacted when initially proposed a month ago, union representatives said. each week, the savings dwindle by $10 million, according to the coalition. the university previously announced layoffs of nearly 1,000 dining-service employees and adjunct professors, who won't be returning in the fall. the fiscal emergency could create more layoffs and freeze a 3 percent raise union employees would receive on july 1, according to the university. earlier: rutgers agrees to some furloughs as unions fight layoffs ""we declared a fiscal emergency as is referenced in certain labor union contracts, which then triggers a mandatory 21-day negotiating period,"" rutgers spokeswoman dory devlin said. ""during that time, the university and its labor unions investigate steps that could be taken to address the emergency before any action is formally taken by the university, including the postponement of a scheduled 3 percent wage increase on july 1."" economic challenges rutgers has spent $50 million to refund students for unused campus services, such as dining, housing, and parking during remote instruction since mid-march. however, the university faces a class-action lawsuit for reimbursement of on-campus tuition and other expenses for services not utilized because of campus closings caused by the pandemic. earlier in the year, the university announced that it will lose $60 million in surgical procedures at rutgers medical centers canceled because of the pandemic, plus, because of a state spending freeze, $73 million in state appropriations through an extended fiscal year that ends on sept. 30. rutgers will get some of that back from the $68.8 million governor’s emergency education relief fund portion of the cares act, according to the state secretary of higher education, but the amount hasn't been determined yet. according to the u.s. department of education, rutgers also will receive another $27 million from the cares act to fill unanticipated costs caused by the pandemic. in the meantime, the university has been drawing on a $600 million reserve fund, devlin said. ""we will continue to draw down upon them because we will still have a deficit in (fiscal year 2021) even after taking extraordinary financial measures to fill the more than $260 million deficit projected for the balance of (fiscal year 2020) and for the next fiscal year which begins on july 1,"" she said. ""we have been negotiating in good faith and intend to continue to do so, especially during this critical 21-day period. we just reached an agreement on a furlough program with afscme that will save 450 jobs and are hopeful that more agreements can be reached."" earlier:  sen. diegnan pursues board of governors vote for rutgers student reps devlin said the university also has cuts by $7 million its athletics budget, which was $93 million in 2019, according to university documents. she said that includes a cut to the nearly $9 million the university's football coaches originally were contracted to receive, nearly half to returning coach greg schiano, who took a four-month 10 percent pay cut to his $4 million annual salary. each of his coaches took a four-month 5 percent cut. fiscal emergency earlier in the year, the university's senior leaders also took a 10 percent pay cut for four months and the next 100 top administrators took a 5 percent cut over the same period. but the coalition said it would like to see more of its cost- and job-saving suggestions met during the 21-day negotiation period and is hopeful incoming president jonathan holloway will make a positive administrative impact when he takes office on july 1. ""by declaring a financial emergency, rutgers is tearing up our contracts and unilaterally attacking our unions and our most vulnerable members,"" the coalition said in a statement. ""it is also turning its back on the plan developed by our coalition to confront the covid-19 crisis with a work-sharing furlough program that would prevent layoffs and program cuts, protect the most vulnerable, and bolster the university’s financial health. we ask president-designate holloway and the rutgers board of governors to exercise leadership and act now to steer a different course."" rutgers does not face a true fiscal emergency, according to the coalition. for the remainder of fiscal year 2020, the university is forecasting a negative change in fund balance operations of almost $58 million, devlin said. that figure doesn't warrant a fiscal emergency, said the coalition, which also stated that the university hasn't tapped enough into its $600 million reserve. ""generated in large part through hikes in undergraduate tuition over the past several years,"" the coalition said, ""these reserves are a literal 'rainy day' fund that could be used to balance the budget and provide support for graduate students and other vulnerable groups as we battle the overlapping public health and economic crises in new jersey."" in addition to state and federal relief funding, the university also will generate revenue from its covid-19 saliva test, which was produced by union members, the coalition said. the hiring of jackson lewis, which the coalition described as one of the country’s most notorious union-busting law firms, reveals that this battle is not primarily about money, union representatives said. ""instead, after squandering $10 million a week of potential savings from work-sharing, the administration is imposing a top-down vision of austerity on our state university that downplays its responsibilities to rutgers’ students and workforce,"" the coalition said. ""this is all the more troubling given the unwillingness of the rutgers leadership to take a significant salary cut during the crisis. while 312 high-level administrators make a total of $65.1 million in salary alone, they have only agreed to a 1 to 3.3 percent reduction in their total annual salaries because of the crisis."" in comparison, the coalition said, the administration at harvard university has taken a 20 percent pay cut for an entire year. the coalition said that it will organize to enforce contracts and pressure the administration to settle outstanding agreements and stop retaliating against medical faculty who speak out on behalf of union members. ""we will demand that rutgers preserve and enhance the pay of front-line health care workers facing the ongoing coronavirus pandemic,"" the coalition said. ""we will insist that the administration rescind the order that effectively laid off 20 to 25 percent of our (part-time lecturers.) we will fight for a one-year funding extension for teaching assistants/graduate assistants, as well as for hardship funds for students who can’t receive federal relief and for all affected communities."" email: bmakin@gannettnj.com bob makin covers rutgers for mycentraljersey.com and the usa today network new jersey. to get unlimited access to his informative and entertaining work, please subscribe or activate your digital account today . about us  corrections  staff directory  careers  accessibility support  site map  legals  our ethical principles  terms of service  privacy policy  your california privacy rights / privacy policy  do not sell my info / cookie policy contact us  support local businesses  advertise your business  advertising terms and conditions  buy and sell  help center  subscriber guide  my account  give feedback subscribe today  newsletters  mobile apps  facebook  twitter  e-edition  storytellers  archives  rss feeds jobs  cars  homes  classifieds  education  moonlighting  reviewed  10best  reach local © 2020 www.mycentraljersey.com. all rights reserved."
7,25,http://www.mississippi.edu/advancingms/1492.asp,200,"             about  contact  careers  news  financial aid    advancing our state together    #advancingms  economic development  energy savings  workforce needs  health research  sustainability culture        mississippi public universities stretch resources through efficiency efforts  3/4/2019 - jackson, miss.  leaders at mississippi public universities are focused on providing a quality education that is accessible and affordable for students. finding cost savings wherever possible is a key part of this effort.  delta state university has partnered with entergy to replace outdated light fixtures with energy-efficient led models for all exterior lights across campusâmore than 60 of them. this not only saves utility costsâof approximately 60 percentâbut also provides a more secure campus. delta state also replaced more than 600 light fixtures in its library with energy-efficient led alternatives, a switch that additionally made the environment more student-friendly.  recent building renovations also save delta state money. the refurbishment of its cafeteria included the latest energy-efficient kitchen equipment and an open design that utilizes more natural light. state-of-the-art renovations to its music building included all new energy-efficient lighting and heating and cooling equipment.  delta state is in the process of installing hvac controls for several academic buildings that currently have none. this will conserve energy tremendously.  all these efforts helped delta state decrease its utility cost approximately 28 percent in the past 12 months.  delta state continues to evaluate other academic buildings to make similar improvements.  mississippi state universityâs sustainability policy and the msu climate action plan set the course for msuâs efficiency efforts. these key documents lay out the parameters for success with respect to operating a more energy efficient campus as well as becoming a cleaner more environmentally friendly campus.  efforts to improve efficiency begin with investing in the right personnel but also includes initiatives such as regular monitoring and reporting of energy consumption, conversion from old-inefficient boiler/heater technologies to new high efficiency models, upgrades and expansions of the computer based control systems, optimizing equipment/building scheduling, retrofitting from fluorescent to led lighting technology, application of lighting control devices such as occupancy sensors, retro-commissioning of older building systems, and the addition of the msu ice plant.  in addition to the upgrades to infrastructure systems, msu has been aggressive in complying with the 30 percent better than ashrae 90.1 requirement of the msu/ihl sustainability policies on all major renovations and new construction. of course, the entire efficiency effort begins with a supportive administration and an engaged community. the sustainability committee has provided oversight and regular review of campus performance, and the administration provides the approval and funding necessary to move forward with important efficiency initiatives and projects.  mississippi university for women recently held a visioning exercise that included a cross section of about 50 campus representatives to have some broad discussions about the universityâs financial future and to understand that the economic framework of a college or university and its financial sustainability is the culmination of decisions made about its mission, structure, strengths and resources. participants explored questions related to the four dimensions of the economic framework, focusing on areas such as culture, policies and processes, decision making, leadership, governance, market factors, collaboration and innovation.  the atmos energy smartchoice program recently installed energy-efficient, low-flow devices across the campus of mississippi valley state university (mvsu). the goal is to help reduce the natural gas and water consumption of the university. new energy-saving showerheads and faucet aerators save thousands of gallons of water per year without sacrificing water pressure or performance. the equipment has a pressure compensating mechanism that provides a constant output of water pressure and helps to filter debris and build-up inside the showerhead or faucet.  mvsu and atmos energy are committed to working together to find other ways to reduce energy consumption throughout the campus. the atmos energy smartchoice program is dedicated to helping commercial and residential customers throughout the state to be more energy efficient and stop energy waste.  efficiency runs throughout the university of mississippiâs master plan, shaping decisions on building locations, utilities, roads, transportation, parking, cycling, and pedestrians. for example, the haley barbour center for manufacturing excellence is powered by the largest rooftop-mounted solar array in mississippi and insight park is equipped with solar shading and geothermal heating and cooling, as well as plug-ins for electrical vehicles.  at the university of southern mississippi, century park, the universityâs newest gated residential complex, was built with the goal of being a u.s. green building council silver leed (leadership in energy and environmental design)-certified building. the complex features 865 beds with a learning center that includes meeting spaces and study lounges.  these efforts have paid off in millions of dollars saved.  since 2006, mississippi state university has pursued aggressive goals in reducing its overall energy consumption per square foot and to date has seen over $52,000,000 in avoided utility costs due to running at a historically low energy usage index. msu is operating at over 40 percent more efficient in terms of btu/square foot than it was some 12 years ago.  mississippi valley state university expects to save $17,000 per year through the atmos energy smartchoice program.  ""we expect that the energy saving measures that were installed at mvsu by the atmos energy smartchoice program will save the university over 28,000 therms of natural gas per year, which is an estimated $17,000 annually,"" said terrance hurssey, mvsuâs director of facilities. ""also, we expect to save over 3,000,000 gallons of water per year by having this equipment installed. we are appreciative to atmos for their help in making our campus more efficient.""  in 2017, the university of mississippi offset three percent of the institution's electricity use from the previous fiscal year by purchasing 3,835 kilowatt hours of renewable energy certificates. the purchase is estimated to be the equivalent of growing 69,848 trees per year for 10 years or not using 6,240 barrels of oil.  the office of sustainability's compost program has diverted more than 91,000 pounds of pre-consumer campus food waste from the landfill since its establishment in 2013.  the university system has saved $106 million through energy efficiency efforts since 2006. the savings accrued by increasing energy efficiency on campus can be redirected to enhance classroom instruction, faculty research and academic support programs. each penny saved can be used to support this mission of providing an excellent education that is accessible and affordable for students.  # # #  the mississippi board of trustees of state institutions of higher learning governs the public universities in mississippi, including alcorn state university; delta state university; jackson state university; mississippi state university including the mississippi state university division of agriculture, forestry and veterinary medicine; mississippi university for women; mississippi valley state university; the university of mississippi including the university of mississippi medical center; and the university of southern mississippi.                           news archive     #advancingms  the pathway to growth for our state    â» economic development  â» energy savings  â» workforce needs  â» health research  â» sustainability culture  â» volunteer efforts  â» future educators  â» efficiency efforts  â» tourism        the universities  â» alcorn state university  â» delta state university  â» jackson state university  â» mississippi state university  â» mississippi university for women  â» mississippi valley state university  â» university of mississippi  â» university of southern mississippi  â» university mississippi medical center       quick links  â» board of trustees  â» commissioner of higher education  â» mississippi's public universities      student financial aid    rise up to a better life    one degree better    business engagement network    america reads - mississippi    jobs for mississippi graduates        board of trustees  commissioner of higher education  academic & student affairs  administration  business and economic development  communications  finance  governmental relations  office of internal audit  legal affairs, risk management & special projects  policy & strategic initiatives  real estate & facilties  strategic research  student financial aid  university research center (state economist)             © 2020 mississippi institutions of higher learning 3825 ridgewood road jackson, ms 39211 telephone: 601.432.6198  accountability and transparency     jobs for mississippi graduates  public records requests  legislative update: miss. code ann. §25-61-19  ethicspoint          "
8,46,http://www.jsu.edu/news/articles/2017/11/student-affairs-opens-food-pantry-.html,200,"      skip to main site navigation  skip to content  skip to footer                mobile menu       apply  visit     i am...    future student  current student  alumni      alumni    search                  search    search button         popular tools    a to z   academic calendar   my jsu   directory   bookstore   library   gem   canvas   give       schools   school of arts & humanities  school of business & industry  school of education  school of science  school of human services & social sciences  school of health professions & wellness            about  academics  admissions & aid  campus life  athletics  alumni              jsu  jsu news    student affairs opens food pantry      menu expander icon   jsu news      submit news    news archives    need help?    campus communicators    faculty experts          11/15/2017     nearly 50 percent of american college students don't always know where their next meal is coming from, including in alabama - the nation's sixth poorest state. jsu has joined more than 200 of its peers across the us in opening a food pantry to ensure no student goes hungry.  run entirely on donations, the jsu food pantry provides free non-perishable food items and hygiene products to students in need. if you are a student in need of assistance, the food pantry is open in the basement of sparkman hall on tuesdays, 4-6 p.m., and fridays, 1-3 p.m. you may enter on the ground floor on the back side of the building.  want to contribute? donations will be collected at the gamecock football game at jsu stadium on nov. 16. drop-off locations are also available at bibb graves hall room 103, the student health center, theron montgomery building room 402, and in the houston cole library.  questions? contact university housing at 256-782-5122.                      back to top        © 2020 jacksonville state university 700 pelham rd n jacksonville, al 36265  phone: 1-800-231-5291 or 1-256-782-5781  email: info@jsu.edu           learn   schools  graduate studies  continuing education and outreach  online education      contact   undergraduate admissions  graduate admissions  emergency information  office of public relations  how to reach us      compliance   web ada compliance  accreditations  title ix  clery information  consumer information  athletics             employment  a-z sitemap  maps & directions  website feedback     facebook   twitter   youtube   instagram                        "
9,34,http://www.jsu.edu/physicalplant/requests.html,200,"      skip to main site navigation  skip to content  skip to footer                mobile menu       apply  visit     i am...    future student  current student  alumni      alumni    search                  search    search button         popular tools    a to z   academic calendar   my jsu   directory   bookstore   library   gem   canvas   give       schools   school of arts & humanities  school of business & industry  school of education  school of science  school of human services & social sciences  school of health professions & wellness            about  academics  admissions & aid  campus life  athletics  alumni              jsu  capital planning & facilities  work order requests    work order requests      menu expander icon   capital planning & facilities      mission statement    work order requests    renovation requests    overview of services    contact us    staff    organization    adem ms4 permit          if you have an emergency during normal business hours of 7:30 a.m. - 4:30 p.m. ( closed during lunch from noon until 1:00pm) , please call ext. 5450 immediately. during lunch, a fter hours, weekends, & holidays, call the campus police department at ext. 8888 for assistance.  please be very clear with your information: name, contact number, time, exact location, and as much information as possible concerning the problem.  work order requests can be initiated by anyone across campus and we encourage all stakeholders to report deficiencies. common work orders are lights out, wet ceiling tiles, roof leaks, heating or cooling not working, stopped up toilets or sinks, tripped electrical breakers, etc. minor issues can be handled in a couple of hours to two or three days depending on available materials and supplies. if your work order is not addressed within 48 hours and you have not had a representative communicate with you, please call 5450 and inquire.  although we strive to be perfect, we are not and sometimes requests are overlooked or misplaced. any work order not addressed within 1 week should be brought to our attention unless you have received specific communication from our department. thank you.  students: to submit a work order, you must complete the housing operations & residence life work order form instead of the form below.    online work order request form           capital planning & facilities  duncan maintenance building 700 pelham road north jacksonville, al 36265  256-782-5450           back to top        © 2020 jacksonville state university 700 pelham rd n jacksonville, al 36265  phone: 1-800-231-5291 or 1-256-782-5781  email: info@jsu.edu           learn   schools  graduate studies  continuing education and outreach  online education      contact   undergraduate admissions  graduate admissions  emergency information  office of public relations  how to reach us      compliance   web ada compliance  accreditations  title ix  clery information  consumer information  athletics             employment  a-z sitemap  maps & directions  website feedback     facebook   twitter   youtube   instagram                        "
