,school,grouping_var,term,url,present_absent,context
0,test,test,test,test,test,test
0,University of Wyoming,st_change_tuition_(>), increase tuition ,E failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), increase tuition ,O failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), raise tuition ,E failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), raise tuition ,O failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), increase tuition ,E failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), increase tuition ,O failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), raise tuition ,E failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), raise tuition ,O failed,NaN,NaN
0,Bluefield State College,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,Concord University,st_change_tuition_(>), increase tuition ,E failed,NaN,NaN
0,Concord University,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,Concord University,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,Concord University,st_change_tuition_(>), increase tuition ,O failed,NaN,NaN
0,Concord University,st_change_tuition_(>), increase tuition ,R failed,NaN,NaN
0,Concord University,st_change_tuition_(>), raise tuition ,E failed,NaN,NaN
0,Concord University,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,Concord University,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,Concord University,st_change_tuition_(>), raise tuition ,O failed,NaN,NaN
0,Concord University,st_change_tuition_(>), raise tuition ,R failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(<=), reduce tuition ,E failed,NaN,NaN
0,University of Wyoming,st_change_tuition_(<=), reduce tuition ,R failed,NaN,NaN
