,RowsPerMinute
0,58.63904092831429
1,94.09277846147921
2,98.93061206946707
3,109.78217687024382
4,101.81221837696287
5,114.27693164186711
6,116.37085438070345
7,126.10856870646799
8,108.91470817598878
9,118.61512037096259
10,114.35233974167127
11,116.80340006743883
12,110.68841000423055
13,114.71552500438825
14,114.703293772503
15,107.55926464610891
16,102.4880991678867
17,42.871515557685385
18,43.402352058919874
19,45.65793064180734
20,46.36381679498728
21,48.51419446179396
22,48.28333168202298
23,48.83496214845908
24,50.054232012796874
25,51.821946864534894
26,53.02033530566941
27,53.95918662049437
28,54.94481934969319
29,56.40487005675846
30,56.77784022212355
31,58.40142285152642
32,58.955997759704445
33,60.46295350835822
34,60.57314129971004
35,60.828212278099016
36,60.66228357394691
37,61.19387385590104
38,61.072817576746836
39,62.352287852244416
40,63.20524169662831
41,64.45822120288403
42,64.67119875005294
43,65.84688807450068
44,66.2373780145848
45,67.16889408451173
46,67.26787550873519
47,68.39714488864698
48,68.43811081147032
49,68.59037732908793
50,69.49755347625046
51,69.79985896638931
52,70.67070561652999
53,70.66581677646593
54,71.23502606911839
55,71.2239932939177
56,71.94696397291192
57,72.13306620324963
58,73.07957223496963
59,73.19125620631533
60,73.49736290663164
61,73.4328819656538
62,74.49797496551221
63,72.23335898512136
64,70.21436031435172
65,70.21421384902908
66,71.09162478119761
67,70.96918575838517
68,70.09343475534874
69,70.00304669588142
70,70.68528665328812
71,70.72842271057779
72,71.5545941311413
73,71.80737041900721
74,72.34455043429199
75,72.16576399789895
76,72.92237408677443
77,72.99724222415935
78,72.82559449100414
79,72.69075585768232
80,72.69807653478148
81,72.62783902144803
82,73.02382286129395
83,73.12671269671533
84,73.67474486642786
85,73.83372872892234
86,74.36328797407994
87,74.1640559785124
88,74.02933955172973
