,school,grouping_var,term,url,present_absent,context
0,University of Wyoming,st_change_tuition_(>), increase tuition ,https://www.collegefactual.com/colleges/university-of-wyoming/paying-for-college/tuition-and-fees/,0,NaN
0,University of Wyoming,st_change_tuition_(>), increase tuition ,https://admissions.uni.edu/costs,0,NaN
0,University of Wyoming,st_change_tuition_(>), raise tuition ,https://www.uwyo.edu/uw/news/2019/07/uw-trustees-approve-new-financial-aid-for-wyoming-students.html,0,NaN
0,University of Wyoming,st_change_tuition_(>), raise tuition ,https://oilcity.news/community/2019/07/22/with-tuition-hikes-uw-to-provide-new-financial-aid/,0,NaN
0,University of Wyoming,st_change_tuition_(>), percent increase in tuition ,https://www.clickondetroit.com/all-about-ann-arbor/2020/08/17/sunrise-movement-ann-arbor-protests-tuition-increase-at-university-of-michigan/,0,NaN
0,University of Wyoming,st_change_tuition_(>), percent increase in tuition ,https://www.mlive.com/news/ann-arbor/2020/06/university-of-michigan-tuition-increase-proposal-fails-with-4-4-board-of-regents-vote.html,0,NaN
0,University of Wyoming,st_change_tuition_(>), raise cost of attendance ,https://www.raise.me/edu/university-of-wyoming,0,NaN
0,University of Wyoming,st_change_tuition_(>), raise cost of attendance ,https://www.uwyo.edu/uw/news/2019/07/uw-trustees-approve-new-financial-aid-for-wyoming-students.html,0,NaN
0,University of Wyoming,st_change_tuition_(>), raise fees ,https://www.uwyo.edu/uw/news/2019/07/uw-trustees-approve-new-financial-aid-for-wyoming-students.html,0,NaN
0,University of Wyoming,st_change_tuition_(>), add fees ,http://www.uwyo.edu/fsbo/important-dates.html,0,NaN
0,University of Wyoming,st_change_tuition_(>), add fees ,https://laramielive.com/wyoming-add-texas-longhorns-to-2023-football-schedule/,0,NaN
0,University of Wyoming,st_change_tuition_(>), increase fees ,https://www.collegefactual.com/colleges/university-of-wyoming/paying-for-college/tuition-and-fees/,0,NaN
0,University of Wyoming,st_change_tuition_(>), increase fees ,https://www.wyomingnewsnow.tv/content/news/Gas-prices-in-Wyoming-increase-471633623.html,0,NaN
0,University of Wyoming,st_change_tuition_(<=), reduce tuition ,http://www.uwyo.edu/sfa/cost-of-attendance/,0,NaN
0,University of Wyoming,st_change_tuition_(<=), reduce tuition ,https://admissions.uni.edu/costs,0,NaN
0,University of Wyoming,st_change_tuition_(<=), freeze tuition ,https://admissions.uni.edu/costs,0,NaN
0,University of Wyoming,st_change_tuition_(<=), freeze tuition ,https://tuition.uni.edu/,0,NaN
0,University of Wyoming,st_change_tuition_(<=), differ tuition ,https://admissions.uni.edu/costs,0,NaN
0,University of Wyoming,st_change_tuition_(<=), differ tuition ,https://tuition.uni.edu/,0,NaN
