,unit_ID,school,term,url,count,context
0,102553.0,University of Denver,increase pay,S,0.0,NoContext
61,102553.0,University of Denver,freeze tuition,https://www.newsbreak.com/colorado/denver/news/0nqpikil/university-of-denver-cut-tuition-for-a-graduate-program-by-15000-now-alumni-want-a-refund,0.0,NoContext
60,102553.0,University of Denver,freeze tuition,https://www.denverpost.com/2020/01/14/university-of-denver-international-studies-tuition-program-alumni/,0.0,NoContext
59,102553.0,University of Denver,freeze tuition,https://www.coloradopolitics.com/news/colorado-public-colleges-are-supposed-to-keep-tuition-flat-next-year----but/article_d93afc36-864c-11e9-a829-f37a44d76d9d.html,0.0,NoContext
58,102553.0,University of Denver,freeze tuition,https://universitycollege.du.edu/admission/tuition-aid.cfm,0.0,NoContext
57,102553.0,University of Denver,staff support programs,https://access.du.edu/s/1150/interior2013/interior-giving.aspx?sid=1150&gid=1001&pgid=15137,0.0,NoContext
56,102553.0,University of Denver,staff support programs,https://www.law.du.edu/academics/practical-experience/clinical-programs,0.0,NoContext
55,102553.0,University of Denver,staff support programs,https://socialwork.du.edu/academics/master-social-work-programs/four-corners-msw,0.0,NoContext
54,102553.0,University of Denver,staff support programs,https://universitycollege.du.edu/,0.0,NoContext
53,102553.0,University of Denver,staff support programs,https://www.du.edu/campus-life/academic-support,0.0,NoContext
52,102553.0,University of Denver,staff support programs,https://www.du.edu/studentlife/learningeffectiveness/,0.0,NoContext
51,102553.0,University of Denver,staff support programs,https://www.du.edu/health-and-counseling-center/counseling/faculty-staff/eap.html,0.0,NoContext
50,102553.0,University of Denver,tenure,https://jobs.du.edu/cw/en-us/job/493191/assistant-professor-affective-social-cognitive-psychology,0.0,NoContext
49,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0, how one university measured faculty productivity — and nobody got hurt    what to expect in a post-tenure review    productivity metrics                     subscribe today          explore    news  
48,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,"appeared in the february 16, 2018, issue .  read other items in this a more upbeat approach to post-tenure review package.   we welcome your thoughts and questions about this article. please email the"
47,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,elopment aspect of the policy. “the final goal was to make people understand that they couldn’t get tenure and just rest.”  audrey williams june is a senior reporter who writes about the academic work
46,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,"that kind of faculty-driven shift is what denver’s new policy hopes to encourage.  “once you’ve got tenure you can antagonize people or bring them in,” reichardt says. “you can get the most out of the"
45,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,"o be just what some professors want. support for it was overwhelming, with 63 percent of tenured or tenure-track faculty members who responded to a faculty senate survey saying they “strongly agree” o"
62,102553.0,University of Denver,freeze tuition,https://duclarion.com/2020/04/du-students-petition-to-reduce-tuition/,0.0,NoContext
63,102553.0,University of Denver,freeze tuition,https://www.usnews.com/best-colleges/university-of-denver-1371,0.0,NoContext
64,102553.0,University of Denver,freeze tuition,https://digitalcommons.du.edu/cgi/viewcontent.cgi?article=2412&context=etd,0.0,NoContext
65,102553.0,University of Denver,lower tuition,https://coloradosun.com/2020/04/14/university-of-denver-tuition-adjustment/,0.0,NoContext
83,102553.0,University of Denver,promotions,https://morgridge.du.edu/mce-announces-faculty-promotions/,1.0,"tact us  visit us  stay connected  calendar  facilities                       mce announces faculty promotions"" class=""info"">            mce announces faculty promotions    morgridge office of communi"
82,102553.0,University of Denver,promotions,https://liberalarts.du.edu/news-events/all-articles/cahss-faculty-promotions-2019,0.0,NoContext
81,102553.0,University of Denver,promotions,https://crimsonconnect.du.edu/hcchp/home/,0.0,NoContext
80,102553.0,University of Denver,promotions,https://www.du.edu/communityvisitors/duzone/offers.html,1.0,"  du zone offer:  25% off all lockout services (cars, houses, offices, etc.)           high country promotions   phone: 720-833-8543   du zone offer:  please visit www.condovacationcenter.com and www."
79,102553.0,University of Denver,promotions,https://www.du.edu/communityvisitors/duzone/offers.html,1.0,om du are to/from the airport; can take up to three passengers with luggage.           high country promotions   phone: 720-833-8543   du zone offer:  please visit www.condovacationcenter.com and www.
78,102553.0,University of Denver,promotions,https://www.du.edu/health-and-counseling-center/healthpromotion/index.html,0.0,NoContext
77,102553.0,University of Denver,faculty advancements,https://alumni.du.edu/,0.0,NoContext
76,102553.0,University of Denver,faculty advancements,https://give.du.edu/ways-give/foundations,0.0,NoContext
44,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,"ies seems to be just what some professors want. support for it was overwhelming, with 63 percent of tenured or tenure-track faculty members who responded to a faculty senate survey saying they “strong"
75,102553.0,University of Denver,faculty advancements,https://korbel.du.edu/content/international-career-advancement-program,0.0,NoContext
73,102553.0,University of Denver,faculty advancements,https://jobs.du.edu/en-us/job/493150/director-faculty-development-and-career-advancement,0.0,NoContext
72,102553.0,University of Denver,decrease tuition,https://www.law.du.edu/law-financial-aid/billing-and-financial-aid-refunds,0.0,NoContext
71,102553.0,University of Denver,decrease tuition,https://www.fitchratings.com/research/us-public-finance/fitch-affirms-university-of-denver-co-at-aa-outlook-stable-21-09-2020,0.0,NoContext
70,102553.0,University of Denver,lower tuition,https://www.educationdive.com/news/university-in-denver-proposes-lower-tuitions-for-undocumented-immigrants/33753/,0.0,NoContext
69,102553.0,University of Denver,lower tuition,https://www.change.org/p/university-of-denver-the-university-of-denver-tuition-adjustment-during-covid-19,0.0,NoContext
68,102553.0,University of Denver,lower tuition,https://www.coloradoindependent.com/2020/04/14/college-tuition-university-of-denver-online-covid-19/,0.0,NoContext
67,102553.0,University of Denver,lower tuition,https://www.du.edu/admission-aid/financial-aid-scholarships/graduate-cost-attendance,0.0,NoContext
66,102553.0,University of Denver,lower tuition,https://www.du.edu/admission-aid/financial-aid-scholarships/undergraduate-financial-aid/price-and-affordability,0.0,NoContext
74,102553.0,University of Denver,faculty advancements,http://du.edu/givetodaniels,0.0,NoContext
43,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,"r of anthropology at the u. of denver, leads a class. as part of denver’s faculty-development plan, tenured professors can get feedback on their teaching and other aspects of their scholarship in form"
42,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,"s. careful wording was critical so as not to trigger distrust. for instance, using the phrase “post-tenure review” was a nonstarter.  “if we had kept that label, it never would have passed,” reichardt"
41,102553.0,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1.0,"policy. some faculty members, however, are concerned that the policy will turn into a de facto post-tenure review. and some fear that peer-to-peer conversations won’t be confidential — or useful.  suc"
