,index,unit_ID,school,term,url,metadata_date
0,0,102553,University of Denver,increase pay,S,S
1,1,102553,University of Denver,reduction of benefits,https://www.du.edu/human-resources/benefits/retirement.html,No meta date
2,2,102553,University of Denver,reduction of benefits,https://magazine.du.edu/solar-investment/,['2019-06-11T14:59:47+00:00']
3,3,102553,University of Denver,reduction of benefits,https://www.du.edu/human-resources/benefits/tuition-waiver/,No meta date
4,4,102553,University of Denver,reduction of benefits,https://www.denverpost.com/2020/06/09/university-denver-layoffs-salary-cuts-covid/,['2020-06-09T22:54:07+00:00']
5,5,102553,University of Denver,reduction of benefits,https://www.du.edu/veterans/,No meta date
6,6,102553,University of Denver,reduction of benefits,https://www.law.du.edu/d7/law-financial-aid/tuition-and-financial-aid/other-resources,No meta date
7,7,102553,University of Denver,reduction of benefits,https://www.du.edu/veterans/gibill-financial/index.html,No meta date
8,8,102553,University of Denver,reduction of benefits,https://socialwork.du.edu/academics/master-social-work-programs/msw-financial-aid-cost,No meta date
9,9,102553,University of Denver,tenure,https://portfolio.du.edu/downloaditem/329784,No meta date
10,10,102553,University of Denver,tenure,https://www.du.edu/facsen/documents.html,No meta date
11,11,102553,University of Denver,tenure,https://jobs.du.edu/en-us/job/493251/assistant-professor-korbel-school-of-international-studies,No meta date
12,12,102553,University of Denver,tenure,https://jobs.du.edu/en-us/job/493192/assistant-professor-political-theory,No meta date
13,13,102553,University of Denver,tenure,https://www.insidehighered.com/news/2015/02/17/new-faculty-model-u-denver-could-be-prototype-reform,No meta date
14,14,102553,University of Denver,tenure,https://liberalarts.du.edu/resources/facultystaff,No meta date
15,15,102553,University of Denver,tenure,https://jobs.du.edu/en-us/listing/?jobnotfound=true,No meta date
16,16,102553,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,No meta date
17,17,102553,University of Denver,tenure,https://jobs.du.edu/cw/en-us/job/493191/assistant-professor-affective-social-cognitive-psychology,['2018-02-11T23:30:00']
18,18,102553,University of Denver,staff support programs,https://www.du.edu/health-and-counseling-center/counseling/faculty-staff/eap.html,No meta date
19,19,102553,University of Denver,staff support programs,https://www.du.edu/studentlife/learningeffectiveness/,No meta date
20,20,102553,University of Denver,staff support programs,https://www.du.edu/campus-life/academic-support,No meta date
21,21,102553,University of Denver,staff support programs,https://universitycollege.du.edu/,No meta date
22,22,102553,University of Denver,staff support programs,https://socialwork.du.edu/academics/master-social-work-programs/four-corners-msw,No meta date
23,23,102553,University of Denver,staff support programs,https://www.law.du.edu/academics/practical-experience/clinical-programs,No meta date
24,24,102553,University of Denver,staff support programs,https://access.du.edu/s/1150/interior2013/interior-giving.aspx?sid=1150&gid=1001&pgid=15137,No meta date
25,25,102553,University of Denver,freeze tuition,https://universitycollege.du.edu/admission/tuition-aid.cfm,No meta date
26,26,102553,University of Denver,freeze tuition,https://www.coloradopolitics.com/news/colorado-public-colleges-are-supposed-to-keep-tuition-flat-next-year----but/article_d93afc36-864c-11e9-a829-f37a44d76d9d.html,No meta date
27,27,102553,University of Denver,freeze tuition,https://www.denverpost.com/2020/01/14/university-of-denver-international-studies-tuition-program-alumni/,No meta date
28,28,102553,University of Denver,freeze tuition,https://www.newsbreak.com/colorado/denver/news/0nqpikil/university-of-denver-cut-tuition-for-a-graduate-program-by-15000-now-alumni-want-a-refund,No meta date
29,29,102553,University of Denver,freeze tuition,https://duclarion.com/2020/04/du-students-petition-to-reduce-tuition/,['2020-01-15T00:36:28+00:00']
30,30,102553,University of Denver,freeze tuition,https://www.usnews.com/best-colleges/university-of-denver-1371,No meta date
31,31,102553,University of Denver,freeze tuition,https://digitalcommons.du.edu/cgi/viewcontent.cgi?article=2412&context=etd,No meta date
32,32,102553,University of Denver,lower tuition,https://coloradosun.com/2020/04/14/university-of-denver-tuition-adjustment/,No meta date
33,33,102553,University of Denver,lower tuition,https://www.du.edu/admission-aid/financial-aid-scholarships/undergraduate-financial-aid/price-and-affordability,No meta date
34,34,102553,University of Denver,lower tuition,https://www.du.edu/admission-aid/financial-aid-scholarships/graduate-cost-attendance,No meta date
35,35,102553,University of Denver,lower tuition,https://www.coloradoindependent.com/2020/04/14/college-tuition-university-of-denver-online-covid-19/,['2020-04-14T21:55:44+00:00']
36,36,102553,University of Denver,lower tuition,https://www.change.org/p/university-of-denver-the-university-of-denver-tuition-adjustment-during-covid-19,No meta date
37,37,102553,University of Denver,lower tuition,https://www.educationdive.com/news/university-in-denver-proposes-lower-tuitions-for-undocumented-immigrants/33753/,No meta date
38,38,102553,University of Denver,decrease tuition,https://www.fitchratings.com/research/us-public-finance/fitch-affirms-university-of-denver-co-at-aa-outlook-stable-21-09-2020,No meta date
39,39,102553,University of Denver,decrease tuition,https://www.law.du.edu/law-financial-aid/billing-and-financial-aid-refunds,No meta date
40,40,102553,University of Denver,faculty advancements,https://jobs.du.edu/en-us/job/493150/director-faculty-development-and-career-advancement,No meta date
41,41,102553,University of Denver,faculty advancements,http://du.edu/givetodaniels,No meta date
42,42,102553,University of Denver,faculty advancements,https://korbel.du.edu/content/international-career-advancement-program,No meta date
43,43,102553,University of Denver,faculty advancements,https://give.du.edu/ways-give/foundations,No meta date
44,44,102553,University of Denver,faculty advancements,https://alumni.du.edu/,No meta date
45,45,102553,University of Denver,promotions,https://www.du.edu/health-and-counseling-center/healthpromotion/index.html,No meta date
46,46,102553,University of Denver,promotions,https://www.du.edu/communityvisitors/duzone/offers.html,No meta date
