,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
1591,100663,Cheyney University of Pennsylvania,consolidate campuses,lt_inter_institutional_collaboration_co,https://www.insidehighered.com/views/2020/07/17/pennsylvania-should-go-further-consolidating-campuses-letter,200,No_meta_date,2020-10-20 23:30:09.931323,0,NoContext
1470,100663,Cheyney University of Pennsylvania,no longer offer,lt_reduction_or_elimination_of_academic_departments_programs,https://cheyney.edu/for-alumni/giving-to-cheyney/give-now/,200,No_meta_date,2020-10-20 23:30:09.931219,0,NoContext
1469,100663,Cheyney University of Pennsylvania,reduced courses,lt_reduction_or_elimination_of_academic_departments_programs,https://www.nytimes.com/interactive/projects/college-mobility/cheyney-university-of-pennsylvania,200,No_meta_date,2020-10-20 23:30:09.931269,0,NoContext
1468,100663,Cheyney University of Pennsylvania,suspend appointments,lt_reduction_or_elimination_of_student_support_programs,https://careerservices.upenn.edu/,200,No_meta_date,2020-10-20 23:30:09.931242,0,NoContext
1467,100663,Cheyney University of Pennsylvania,eliminate advising,lt_reduction_or_elimination_of_student_support_programs,https://cheyney.edu/campus-experience/holistic-student-support/health-and-wellness/psychological-counseling/,200,No_meta_date,2020-10-20 23:30:09.931215,0,NoContext
1465,100663,Cheyney University of Pennsylvania,eliminate advising,lt_reduction_or_elimination_of_student_support_programs,https://cheyney.edu/campus-experience/holistic-student-support/life-coaches/,200,No_meta_date,2020-10-20 23:30:09.931208,0,NoContext
1464,100663,Cheyney University of Pennsylvania,cut student programs,lt_reduction_or_elimination_of_student_support_programs,https://www.usnews.com/best-colleges/cheyney-university-3317/academics,200,No_meta_date,2020-10-20 23:30:09.931253,0,NoContext
1463,100663,Cheyney University of Pennsylvania,cut student programs,lt_reduction_or_elimination_of_student_support_programs,https://cheyney.edu/academics/,200,No_meta_date,2020-10-20 23:30:09.931203,0,NoContext
1462,100663,Cheyney University of Pennsylvania,reduce academic advising,lt_reduction_or_elimination_of_student_support_programs,https://cheyney.edu/academics/academic-departments-programs/,200,No_meta_date,2020-10-20 23:30:09.931202,0,NoContext
1461,100663,Cheyney University of Pennsylvania,reduce student assistance,lt_reduction_or_elimination_of_student_support_programs,https://cheyney.edu/novel-coronavirus/,200,No_meta_date,2020-10-20 23:30:09.931204,0,NoContext
