,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
1466,100663,Cheyney University of Pennsylvania,eliminate advising,lt_reduction_or_elimination_of_student_support_programs,https://www.collegedata.com/college/cheyney-university-of-pennsylvania/?tab=profile-admission-tab,timeout,No_meta_date,2020-10-20 23:30:09.931200,0,NoContext
1458,100663,Cheyney University of Pennsylvania,cut travel,st_reduce_operational_spending,http://www.thedp.com/article/2020/03/coronavirus-penn-travel-banned-large-events-online-classes,timeout,No_meta_date,2020-10-20 23:30:09.931199,0,NoContext
1455,100663,Cheyney University of Pennsylvania,courses dropped,lt_reduction_or_elimination_of_academic_departments_programs,https://www.pennlive.com/news/2018/03/cheyney_university_drops_ncaa.html,timeout,No_meta_date,2020-10-20 23:30:09.931187,0,NoContext
1471,100663,Cheyney University of Pennsylvania,no longer offer,lt_reduction_or_elimination_of_academic_departments_programs,https://www.tripadvisor.com/hotelsnear-g52357-d5789406-cheyney_university_of_pennsylvania-cheyney_pennsylvania.html,timeout,No_meta_date,2020-10-20 23:30:09.931214,0,NoContext
1473,100663,Cheyney University of Pennsylvania,reduce international support,lt_reduction_or_elimination_of_student_support_programs,https://www.collegefactual.com/colleges/cheyney-university-of-pennsylvania/student-life/diversity/,timeout,No_meta_date,2020-10-20 23:30:09.931206,0,NoContext
1474,100663,Cheyney University of Pennsylvania,layoff faculty,lt_reduction_of_institution_faculty,https://www.pennlive.com/politics/2014/10/faculty_layoffs_announced_at_e.html,timeout,['2014-10-30T20:23:00Z'],2020-10-20 23:30:09.931211,0,NoContext
1494,100663,Cheyney University of Pennsylvania,unconventional student programs,st_expand_unconventional_programs_gr,https://mba.wharton.upenn.edu/nontraditional-students/,timeout,No_meta_date,2020-10-20 23:30:09.931234,0,NoContext
1493,100663,Cheyney University of Pennsylvania,close buildings,lt_liquidate_fixed_assets,https://www.pennlive.com/news/2019/02/short-on-cash-and-students-a-historically-black-university-in-pa-faces-a-watershed-moment.html,timeout,No_meta_date,2020-10-20 23:30:09.931232,0,NoContext
1483,100663,Cheyney University of Pennsylvania,online programs,st_expand_unconventional_programs_gr,https://www.collegefactual.com/colleges/cheyney-university-of-pennsylvania/academic-life/distance-learning/,timeout,No_meta_date,2020-10-20 23:30:09.931223,0,NoContext
1476,100663,Cheyney University of Pennsylvania,layoff faculty,lt_reduction_of_institution_faculty,https://www.apscuf.org/faculty-layoffs-a-possibility-at-shippensburg-cheyney/,timeout,['2014-10-31T01:36:00Z'],2020-10-20 23:30:09.931222,0,NoContext
1475,100663,Cheyney University of Pennsylvania,layoff faculty,lt_reduction_of_institution_faculty,https://www.pennlive.com/politics/2014/10/cheyney_university_faculty_lay.html,timeout,No_meta_date,2020-10-20 23:30:09.931218,0,NoContext
1420,100663,Cheyney University of Pennsylvania,vacancies open,st_reduce_hiring,https://www.salary.com/job/cheyney-university-of-pennsylvania/program-coordinator-gfpc-3/eb5b34d1-c9a6-4c10-b55b-b8b870563c08,timeout,No_meta_date,2020-10-20 23:30:09.931153,0,NoContext
1443,100663,Cheyney University of Pennsylvania,operational spending reductions,st_reduce_operational_spending,https://www.watertechonline.com/wastewater/article/14175863/cheyney-university-selects-inframark-to-operate-its-wastewater-facilities,timeout,"['May 12th, 2020']",2020-10-20 23:30:09.931180,0,NoContext
1442,100663,Cheyney University of Pennsylvania,operational spending reductions,st_reduce_operational_spending,https://www.pennlive.com/politics/2017/08/plan_approved_to_try_to_save_s.html,timeout,['2017-08-23T03:49:00Z'],2020-10-20 23:30:09.931181,0,NoContext
1441,100663,Cheyney University of Pennsylvania,operational spending reductions,st_reduce_operational_spending,https://www.penncapital-star.com/education/cheyney-releases-full-proposed-budget-but-doubts-over-its-surplus-remain/,timeout,['2019-11-20T11:30:18+00:00'],2020-10-20 23:30:09.931174,0,NoContext
1436,100663,Cheyney University of Pennsylvania,suspend retirement contributions,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/saving-for-retirement/savings-plans,timeout,No_meta_date,2020-10-20 23:30:09.931169,0,NoContext
1433,100663,Cheyney University of Pennsylvania,reduce benefits,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/tuition,timeout,No_meta_date,2020-10-20 23:30:09.931164,0,NoContext
1431,100663,Cheyney University of Pennsylvania,freeze salary increases,st_salary_promotion_freeze,https://www.inquirer.com/education/temple-university-tuition-freeze-students-20190709.html,timeout,No_meta_date,2020-10-20 23:30:09.931170,0,NoContext
1430,100663,Cheyney University of Pennsylvania,freeze salary increases,st_salary_promotion_freeze,https://www.mcall.com/mc-xpm-1992-06-23-2850232-story.html,timeout,No_meta_date,2020-10-20 23:30:09.931171,0,NoContext
1437,100663,Cheyney University of Pennsylvania,suspend retirement contributions,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/saving-for-retirement,timeout,No_meta_date,2020-10-20 23:30:09.931168,0,NoContext
1590,100663,Cheyney University of Pennsylvania,consolidate campuses,lt_inter_institutional_collaboration_co,https://www.educationdive.com/news/pennsylvanias-public-colleges-got-the-green-light-for-major-reform/581526/,timeout,No_meta_date,2020-10-20 23:30:09.931306,0,NoContext
1560,100663,Cheyney University of Pennsylvania,promotions,lt_improve_staff_faculty_support_gr,https://hbcuconnect.com/content/360030/cheyney-university-promo,timeout,No_meta_date,2020-10-20 23:30:09.931272,0,NoContext
1497,100663,Cheyney University of Pennsylvania,expand to minorities,st_expand_unconventional_programs_gr,https://6abc.com/cheyney-university-historically-black-colleges-and-universities-hbcu-minorities/5890710/,timeout,No_meta_date,2020-10-20 23:30:09.931244,0,NoContext
1589,100663,Cheyney University of Pennsylvania,partner with another institution,lt_inter_institutional_collaboration_co,https://www.jbhe.com/2013/11/cheyney-university-of-pennsylvania-partners-with-educational-institution-in-rwanda/,timeout,['2013-11-01T13:40:29+00:00'],2020-10-20 23:30:09.931307,0,NoContext
1578,100663,Cheyney University of Pennsylvania,salary increase,lt_improve_staff_faculty_support_gr,https://www.salary.com/job/cheyney-university-of-pennsylvania/coordinator-of-advancement-external-relations-sua3/a75008ec-8ee3-4d95-adcc-170e1b3cb687,timeout,No_meta_date,2020-10-20 23:30:09.931285,0,NoContext
1572,100663,Cheyney University of Pennsylvania,food pantry,lt_improve_student_experience_gr,https://www.studentaffairs.pitt.edu/pittserves/the-pitt-pantry/,timeout,No_meta_date,2020-10-20 23:30:09.931281,0,NoContext
1580,100663,Cheyney University of Pennsylvania,salary increase,lt_improve_staff_faculty_support_gr,https://www.salary.com/job/cheyney-university-of-pennsylvania/contoller/7c9535a1-d465-4fb9-add9-1dd70740189c,timeout,No_meta_date,2020-10-20 23:30:09.931299,0,NoContext
1544,100663,Cheyney University of Pennsylvania,building improvement,lt_improve_infrastructure_gr,https://www.burns-group.com/project/carver-science-center-cheyney-university-of-pennsylvania/,timeout,No_meta_date,2020-10-20 23:30:09.931252,0,NoContext
1502,100663,Cheyney University of Pennsylvania,improve utilities,lt_improve_infrastructure_gr,https://www.waterworld.com/wastewater/treatment/article/14175790/cheyney-university-selects-inframark-to-operate-its-wastewater-facilities,timeout,No_meta_date,2020-10-20 23:30:09.931247,0,NoContext
1073,102298,University of Wisconsin-Eau Claire,cut travel,st_reduce_operational_spending,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=abroad.viewdocument&file_id=0406767c7b4f76050276047c73071c010c7c03140f0d04776e737573770500730705727c0007037707,timeout,No_meta_date,2020-10-20 23:30:09.930934,0,NoContext
1071,102298,University of Wisconsin-Eau Claire,reduce unnecessary spending,st_reduce_operational_spending,https://www.spectatornews.com/campus-news/2015/05/psychology-research-group-aims-to-track-and-reduce-food-waste/,timeout,No_meta_date,2020-10-20 23:30:09.930935,0,NoContext
1077,102298,University of Wisconsin-Eau Claire,reduce purchases,st_reduce_operational_spending,https://uwecdining.sodexomyway.com/explore/sustainability,timeout,No_meta_date,2020-10-20 23:30:09.930958,0,NoContext
1085,102298,University of Wisconsin-Eau Claire,suspend capital projects,st_deferred_infrastructure_improvement,https://www.wisconsin.edu/regents/resolutions/,timeout,['2016-08-15T09:48:37-05:00'],2020-10-20 23:30:09.930961,0,NoContext
1032,102298,University of Wisconsin-Eau Claire,voluntary furlough,st_voluntary_incentivized_staff_faculty_reduction,https://www.wisconsin.edu/uw-daily/,timeout,No_meta_date,2020-10-20 23:30:09.930893,0,NoContext
1033,102298,University of Wisconsin-Eau Claire,operational inefficiencies,st_reduce_operational_spending,https://universitybusiness.com/straightening-efficiency-kinks/,timeout,['2019-02-19T18:35:26Z'],2020-10-20 23:30:09.930895,0,NoContext
1035,102298,University of Wisconsin-Eau Claire,operational inefficiencies,st_reduce_operational_spending,https://www.blugolds.com/,timeout,No_meta_date,2020-10-20 23:30:09.930904,0,NoContext
1036,102298,University of Wisconsin-Eau Claire,deferred hiring deferred hiring of vacant positions,st_reduce_hiring,https://www.wisconsin.edu/ohrwd/benefits/ret/wdc/,timeout,['2014-08-18T15:50:05-05:00'],2020-10-20 23:30:09.930902,0,NoContext
