,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
1444,100663,Cheyney University of Pennsylvania,vacancies open,st_reduce_hiring,https://www.salary.com/job/cheyney-university-of-pennsylvania/program-coordinator-gfpc-3/eb5b34d1-c9a6-4c10-b55b-b8b870563c08,timeout,No_meta_date,2020-10-20 23:21:09.193110,0,NoContext
1461,100663,Cheyney University of Pennsylvania,suspend retirement contributions,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/saving-for-retirement,timeout,No_meta_date,2020-10-20 23:21:09.193105,0,NoContext
1460,100663,Cheyney University of Pennsylvania,suspend retirement contributions,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/saving-for-retirement/savings-plans,timeout,No_meta_date,2020-10-20 23:21:09.193104,0,NoContext
1457,100663,Cheyney University of Pennsylvania,reduce benefits,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/tuition,timeout,No_meta_date,2020-10-20 23:21:09.193103,0,NoContext
1598,100663,Cheyney University of Pennsylvania,food pantry,lt_improve_student_experience_gr,https://www.studentaffairs.pitt.edu/pittserves/the-pitt-pantry/,timeout,No_meta_date,2020-10-20 23:21:09.193235,0,NoContext
1097,102298,University of Wisconsin-Eau Claire,cut travel,st_reduce_operational_spending,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=abroad.viewdocument&file_id=0406767c7b4f76050276047c73071c010c7c03140f0d04776e737573770500730705727c0007037707,timeout,No_meta_date,2020-10-20 23:21:09.192889,0,NoContext
1056,102298,University of Wisconsin-Eau Claire,operational inefficiencies,st_reduce_operational_spending,https://www.blugolds.com/,timeout,No_meta_date,2020-10-20 23:21:09.192866,0,NoContext
1067,102298,University of Wisconsin-Eau Claire,streamline operations,st_reduce_operational_spending,https://www.wisconsin.edu/news/archive/president-cross-presents-blueprint-for-strong-post-pandemic-uw-system/,timeout,No_meta_date,2020-10-20 23:21:09.192873,0,NoContext
1158,102298,University of Wisconsin-Eau Claire,unconventional student programs,st_expand_unconventional_programs_gr,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=abroad.viewdocument&file_id=04077170724f01067771047675001c747c0a0f14020d06006e010701767c7c070f757a740376020505,timeout,No_meta_date,2020-10-20 23:21:09.192945,0,NoContext
929,102298,University of Wisconsin-Eau Claire,add fees,st_change_tuition_(>),https://studyabroad.apps.uwec.edu/_customtags/ct_fileretrieve.cfm?file_id=05077b7c7b4f00730375057575051c75797f7014727d00756e740672050773730e0176047775067b75,timeout,No_meta_date,2020-10-20 23:21:09.192802,0,NoContext
