,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
548,100663,Miami University-Hamilton,reduce tuition,st_change_tuition_(<=),https://cumberlandspatriots.com/news/2018/9/4/general-university-of-the-cumberlands-announces-57-percent-reduction-in-annual-tuition.aspx?path=gen,200,No_meta_date,2020-11-05 12:20:51.481418,1,"     skip to main content            university of the cumberlands athletics   scoreboard         events  results     events      results         main navigation menu             baseball  baseball: twitter  baseball: schedule  baseball: roster  baseball: news  basketball  basketball: twitter  basketball: schedule  basketball: roster  basketball: news  bowling  bowling: facebook  bowling: twitter  bowling: instagram  bowling: schedule  bowling: roster  bowling: news  cross country  cross country: schedule  cross country: roster  cross country: news  football  football: schedule  football: roster  football: news  golf  golf: twitter  golf: schedule  golf: roster  golf: news  lacrosse  lacrosse: twitter  lacrosse: instagram  lacrosse: schedule  lacrosse: roster  lacrosse: news  soccer  soccer: twitter  soccer: instagram  soccer: schedule  soccer: roster  soccer: news  swimming & diving  swimming & diving: facebook  swimming & diving: twitter  swimming & diving: instagram  swimming & diving: schedule  swimming & diving: roster  swimming & diving: news  tennis  tennis: facebook  tennis: twitter  tennis: instagram  tennis: schedule  tennis: roster  tennis: news  track & field  track & field: schedule  track & field: roster  track & field: news  wrestling  wrestling: instagram  wrestling: schedule  wrestling: roster  wrestling: news  basketball  basketball: twitter  basketball: instagram  basketball: schedule  basketball: roster  basketball: news  bowling  bowling: facebook  bowling: twitter  bowling: instagram  bowling: schedule  bowling: roster  bowling: news  cross country  cross country: schedule  cross country: roster  cross country: news  golf  golf: twitter  golf: schedule  golf: roster  golf: news  lacrosse  lacrosse: twitter  lacrosse: instagram  lacrosse: schedule  lacrosse: roster  lacrosse: news  soccer  soccer: twitter  soccer: instagram  soccer: schedule  soccer: roster  soccer: news  softball  softball: schedule  softball: roster  softball: news  swimming & diving  swimming & diving: facebook  swimming & diving: twitter  swimming & diving: instagram  swimming & diving: schedule  swimming & diving: roster  swimming & diving: news  tennis  tennis: facebook  tennis: twitter  tennis: instagram  tennis: schedule  tennis: roster  tennis: news  track & field  track & field: schedule  track & field: roster  track & field: news  volleyball  volleyball: facebook  volleyball: twitter  volleyball: instagram  volleyball: schedule  volleyball: roster  volleyball: news  wrestling  wrestling: twitter  wrestling: instagram  wrestling: schedule  wrestling: roster  wrestling: news  archery  archery: schedule  archery: roster  archery: news  cheerleading  cheerleading: twitter  cheerleading: instagram  cheerleading: schedule  cheerleading: roster  cheerleading: news  competitive dance  competitive dance: schedule  competitive dance: roster  competitive dance: news  esports  esports: schedule  esports: roster  esports: news  sports information  social media central  quick facts  student-athlete media info form  signee report form  senior athlete questionnaire  senior day ceremony request  uc sports network  live stats  youtube channel  facebook page  twitter page  instagram page  photos  mission statement  vision statement  athletic training  champions of character  master calendar  uc phase 3 plan  athletic facilities  hall of fame  corporate sponsors/partners  traditions  all-decade team  uc home game fan policy  message from uc director of athletics  athlete interest form  athletic interest form (women's basketball)  athletic interest form (men's lacrosse)  athletic interest form (men's soccer)  athletic interest form (women's soccer)  athletic interest form (swimming)  athletic interest form (volleyball)  athletic interst form (esports)  uc admissions  apply now  playnaia  play naia faq  signee report form  live stats  live video                                 university of the cumberlands announces 57 percent reduction in annual tuition   september 4, 2018 – university of the cumberlands, a private, post-secondary institution in southeastern kentucky, announced today that it will reduce tuition by 57 percent beginning next academic year. the goal of the tuition cut is to increase the affordability of a private education at cumberlands while simplifying the financial aid process for students and families.  under the new pricing model, cumberlands will offer the lowest tuition of any private university in kentucky, offering tuition comparable to every public four-year institution in the state."
646,100663,Miami University-Hamilton,eliminate administrative departments,lt_reduction_or_elimination_of_administrative_departments,https://www.insidehighered.com/news/2011/09/16/where-universities-can-be-cut,200,No_meta_date,2020-11-05 12:20:51.481901,0,NoContext
647,100663,Miami University-Hamilton,sell buildings,lt_liquidate_fixed_assets,https://www.journal-news.com/news/hamilton-fifth-third-building-has-sold-developer/m7zzcduduzermammp0mycn/,404,No_meta_date,2020-11-05 12:20:51.481453,0,NoContext
648,100663,Miami University-Hamilton,sell buildings,lt_liquidate_fixed_assets,https://www.bizjournals.com/cincinnati/news/2018/03/14/more-than-200-apartments-planned-near-miami.html,200,No_meta_date,2020-11-05 12:20:51.481406,0,NoContext
649,100663,Miami University-Hamilton,sell buildings,lt_liquidate_fixed_assets,https://www.journal-news.com/news/local/formerly-dead-ohio-casualty-building-breathing-again-hamilton/v78tmp2h3wvkbfvp9smwrl/,404,No_meta_date,2020-11-05 12:20:51.481461,0,NoContext
650,100663,Miami University-Hamilton,partner with corporate entity,st_expand_unconventional_programs_gr,https://www.miamioh.edu/regionals/news/2019/11/commerce-hub-sbdc.html,200,No_meta_date,2020-11-05 12:20:51.481432,0,NoContext
651,100663,Miami University-Hamilton,unconventional student programs,st_expand_unconventional_programs_gr,https://www.miamistudent.net/article/2019/12/miami-employee-hits-the-books-to-pursue-new-career,200,No_meta_date,2020-11-05 12:20:51.481465,0,NoContext
652,100663,Miami University-Hamilton,administrative budget cuts,lt_reduction_or_elimination_of_administrative_departments,https://www.insidehighered.com/news/2020/06/10/facing-financial-peril-university-alaska-moves-cut-academic-programs-and,200,No_meta_date,2020-11-05 12:20:51.481888,0,NoContext
653,100663,Miami University-Hamilton,expand to veterans,st_expand_unconventional_programs_gr,https://www.daytondailynews.com/news/miami-regionals-increase-outreach-veterans/7coefmbnejpw2w4h7uoxwm/,404,No_meta_date,2020-11-05 12:20:51.481459,0,NoContext
654,100663,Miami University-Hamilton,offer program to company employees,st_expand_unconventional_programs_gr,https://www.miamioh.edu/regionals/news/2019/07/work-plus.html,200,No_meta_date,2020-11-05 12:20:51.481443,0,NoContext
655,100663,Miami University-Hamilton,expand to adults,st_expand_unconventional_programs_gr,https://www.journal-news.com/news/local/with-help-from-hall-famer-jim-brown-new-education-program-expanding-using-hamilton-building/9vyvlmegjmmy3pa2btrvcp/,404,No_meta_date,2020-11-05 12:20:51.481455,0,NoContext
657,100663,Miami University-Hamilton,expand to adults,st_expand_unconventional_programs_gr,https://www.insidehighered.com/news/2015/05/15/champlain-college-expands-online-adult-learner-market,200,No_meta_date,2020-11-05 12:20:51.481909,0,NoContext
