,unit_ID,school,variable,term,url,metadata_date
1971,100812,University of Southern Indiana,lt_inter_institutional_collaboration_co,share resources,S,S
1976,100812,University of Southern Indiana,lt_inter_institutional_collaboration_co,share location,S,S
1980,100812,University of Southern Indiana,lt_inter_institutional_collaboration_co,partner with another institution,S,S
1989,100812,University of Southern Indiana,lt_inter_institutional_collaboration_co,offer degree through another institution,S,S
1990,100812,University of Southern Indiana,lt_inter_institutional_collaboration_co,university partnership,S,S
1991,100858,Albany State University,st_change_tuition_(>),raise tuition,S,S
1992,100858,Albany State University,st_change_tuition_(>),add fees,S,S
1994,100858,Albany State University,st_change_tuition_(>),increase fees,S,S
1995,100858,Albany State University,st_change_tuition_(>),tuition increase,S,S
1999,100858,Albany State University,st_change_tuition_(<=),freeze tuition,S,S
2000,100858,Albany State University,st_change_tuition_(<=),reduce tuition,S,S
2001,100858,Albany State University,st_change_tuition_(<=),decrease tuition,S,S
2002,100858,Albany State University,st_reduce_hiring,deferred hiring deferred hiring of vacant positions,S,S
2003,100858,Albany State University,st_change_tuition_(<=),lower tuition,S,S
2004,100858,Albany State University,st_reduce_hiring,hiring chill,S,S
2005,100858,Albany State University,st_reduce_hiring,hiring freeze,S,S
2007,100858,Albany State University,st_reduce_hiring,open positions,S,S
2008,100858,Albany State University,st_reduce_hiring,vacancies open,S,S
2009,100858,Albany State University,st_reduce_hiring,leave positions unfilled,S,S
2010,100858,Albany State University,st_salary_promotion_freeze,freeze salary increases,S,S
2011,100858,Albany State University,st_salary_promotion_freeze,reduce payroll,S,S
2012,100858,Albany State University,st_reduce_staff_and_faculty_support,salary reductions,S,S
2013,100858,Albany State University,st_reduce_staff_and_faculty_support,pay cuts,S,S
2014,100858,Albany State University,st_reduce_staff_and_faculty_support,reduce benefits,S,S
2015,100858,Albany State University,st_reduce_staff_and_faculty_support,reduction of benefits,S,S
2016,100858,Albany State University,st_reduce_staff_and_faculty_support,suspend retirement contributions,S,S
2017,100858,Albany State University,st_voluntary_incentivized_staff_faculty_reduction,retirement incentives,S,S
2018,100858,Albany State University,st_voluntary_incentivized_staff_faculty_reduction,voluntary furlough,S,S
2019,100858,Albany State University,st_voluntary_incentivized_staff_faculty_reduction,buyouts,S,S
2020,100858,Albany State University,st_voluntary_incentivized_staff_faculty_reduction,early retirement,S,S
2021,100858,Albany State University,st_furlough_staff_faculty,staff furlough,S,S
2022,100858,Albany State University,st_furlough_staff_faculty,faculty furlough,S,S
2023,100858,Albany State University,st_furlough_staff_faculty,furlough,S,S
