,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
656,100663,Miami University-Hamilton,expand to adults,st_expand_unconventional_programs_gr,https://miamioh.edu/news/top-stories/2014/04/best-buddies-choir.html,timeout,No_meta_date,2020-11-05 12:20:51.481439,0,NoContext
660,100663,Miami University-Hamilton,new building,lt_improve_infrastructure_gr,https://miamioh.edu/news/top-stories/2019/09/health-science-building.html,timeout,No_meta_date,2020-11-05 12:20:51.481469,0,NoContext
691,100663,Miami University-Hamilton,promotions,lt_improve_staff_faculty_support_gr,https://miamioh.edu/news/top-stories/2020/02/february-trustees.html,timeout,No_meta_date,2020-11-05 12:20:51.481479,0,NoContext
692,100663,Miami University-Hamilton,academic advising,lt_improve_student_experience_gr,https://journals.psu.edu/mentor/article/view/61501/61153,timeout,No_meta_date,2020-11-05 12:20:51.481450,0,NoContext
625,100663,Miami University-Hamilton,operational spending reductions,st_reduce_operational_spending,https://www.miamioh.edu/news/top-stories/2020/06/trustees-june-meeting.html,timeout,No_meta_date,2020-11-05 12:20:51.481421,0,NoContext
666,100663,Miami University-Hamilton,campus climate,lt_improve_student_experience_gr,https://www.miamioh.edu/news/campus-news/2018/04/campus-climate-results-forums.html,timeout,No_meta_date,2020-11-05 12:20:51.481472,0,NoContext
667,100663,Miami University-Hamilton,tenure,lt_improve_staff_faculty_support_gr,https://www.miamioh.edu/news/top-stories/2020/02/february-trustees.html,timeout,No_meta_date,2020-11-05 12:20:51.481474,0,NoContext
676,100663,Miami University-Hamilton,food pantry,lt_improve_student_experience_gr,https://miamioh.edu/news/campus-news/2018/04/student-success-center-new-ways-to-help.html,timeout,No_meta_date,2020-11-05 12:20:51.481475,0,NoContext
677,100663,Miami University-Hamilton,food pantry,lt_improve_student_experience_gr,https://www.miamioh.edu/news/top-stories/2020/04/mini-move-out-sharefest-food-donated.html,timeout,No_meta_date,2020-11-05 12:20:51.481478,0,NoContext
566,100663,Miami University-Hamilton,freeze salary increases,st_salary_promotion_freeze,https://miamioh.edu/news/top-stories/2015/06/trustees-tuition.html,timeout,No_meta_date,2020-11-05 12:20:51.481359,0,NoContext
585,100663,Miami University-Hamilton,reduction of benefits,st_reduce_staff_and_faculty_support,https://www.miamioh.edu/news/working-miami/2016/05/hr-tuition-waiver.html,timeout,No_meta_date,2020-11-05 12:20:51.481375,0,NoContext
609,100663,Miami University-Hamilton,early retirement,st_voluntary_incentivized_staff_faculty_reduction,https://www.miamistudent.net/article/2020/01/budget-reallocations-leave-39-miami-employees-without-jobs,timeout,No_meta_date,2020-11-05 12:20:51.481390,0,NoContext
616,100663,Miami University-Hamilton,deferred capital projects,st_deferred_infrastructure_improvement,https://www.miamioh.edu/news/miami-in-the-news/2019/05/miami-among-regional-construction-projects.html,timeout,No_meta_date,2020-11-05 12:20:51.481404,0,NoContext
